icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity,true_track
780237,CPA691,China,1783039038,114.0205,20.9832,8549.64,False,229.36,212.26
394a0b,AFR274,France,1783038875,38.1453,40.2404,9448.8,False,290.61,77.74
040204,ETH501,Ethiopia,1783039184,29.6009,30.0717,11887.2,False,259.04,134.03
760a0d,FJL587,Pakistan,1783039228,55.6578,22.5581,11277.6,False,239.11,68.02
3c70c3,GEC8461,Germany,1783039231,28.4098,41.5948,3589.02,False,183.83,308.41
3c70c2,GEC8429,Germany,1783039231,89.336,22.5504,10363.2,False,261.68,276.89
86ef28,ANA919,Japan,1783039232,140.3548,35.7925,541.02,False,83.8,331.39
040079,ETH429,Ethiopia,1783039232,35.8471,31.3462,3589.02,False,181.23,184.89
4ba9cf,THY7AZ,Turkey,1783039163,31.9256,54.6938,11887.2,False,28.03,222.77
4ba9ce,THY706,Turkey,1783038910,48.9523,40.7516,11887.2,False,276.01,95.56
4ba9cd,THY734,Turkey,1783039017,36.6796,39.806,10058.4,False,276.25,110.49
71c013,JNA203,Republic of Korea,1783039231,140.701,36.1762,3718.56,False,174.01,159.58
4ba9e8,THY34D,Turkey,1783039231,30.7061,38.857,11582.4,False,231.6,323.31
4ba9e9,THY726,Turkey,1783039232,76.2073,30.873,11887.2,False,245.33,111.4
4ba9e4,THY147,Turkey,1783039232,29.924,39.8197,8991.6,False,222.11,336.52
040046,ETH760,Ethiopia,1783039231,30.809,36.5072,12192.0,False,260.42,358.3
4ba9e2,THY8HA,Turkey,1783039231,25.6149,44.699,11277.6,False,241.76,141.74
89917e,CAL903,Taiwan,1783039200,119.181,23.3305,10363.2,False,239.78,237.71
71c001,KAL141,Republic of Korea,1783039232,126.504,37.2667,2232.66,False,144.96,213.86
71c006,KAL033,Republic of Korea,1783039230,127.6384,37.5205,5044.44,False,212.23,61.63
4ba9f6,THY6119,Turkey,1783039232,71.6365,18.4846,10972.8,False,251.23,296.51
06a390,QTR8411,Qatar,1783038956,105.3397,19.1969,9144.0,False,270.84,275.56
89914a,MDA2361,Taiwan,1783039193,119.6434,23.6108,198.12,False,58.4,197.96
06a391,QTR8262,Qatar,1783039231,51.6639,25.1714,624.84,False,89.32,338.01
78161c,CSN378,China,1783038956,38.9898,44.0641,10668.0,False,4.12,270.0
06a38c,QTR815,Qatar,1783039072,55.8713,25.0443,10972.8,False,247.32,277.17
781642,CCA1351,China,1783039135,114.6929,39.4597,9281.16,False,244.83,242.47
899141,UIA8635,Taiwan,1783039231,120.3321,24.1256,1836.42,False,119.09,230.26
89913d,UIA8911,Taiwan,1783039232,120.308,22.489,1249.68,False,102.75,274.88
899150,MDA365,Taiwan,1783039229,120.0894,23.8237,2727.96,False,99.39,206.43
8990a8,CAL933,Taiwan,1783039166,114.0577,21.9619,1348.74,False,146.66,298.72
7801a3,CPA597,China,1783039169,133.8351,33.7182,8983.98,False,222.71,234.4
71c076,KAL284,Republic of Korea,1783039231,127.3623,37.1932,4876.8,False,161.38,341.22
8990b5,EVA158,Taiwan,1783039231,132.3033,34.1245,10668.0,False,252.32,34.95
8990b1,EVA134,Taiwan,1783039231,133.9682,34.2893,2849.88,False,148.62,6.56
7801b6,CPA705,China,1783039232,114.3525,21.3991,7360.92,False,203.63,211.36
8990aa,CAL156,Taiwan,1783039231,121.2576,25.1682,3162.3,False,157.58,73.69
71c060,AAR1145,Republic of Korea,1783039227,135.1126,34.3426,701.04,False,84.36,68.91
84183d,JAL185,Japan,1783039231,139.5859,35.8001,4892.04,False,181.1,287.35
7801cc,CPA564,China,1783039232,114.0843,22.307,1623.06,False,110.91,149.63
71c031,JJA104,Republic of Korea,1783039232,126.6004,37.5534,1752.6,False,101.35,322.84
06a30b,QTR8022,Qatar,1783039232,88.6379,22.6043,12496.8,False,242.44,91.95
06a30c,QTR8997,Qatar,1783039230,57.4848,24.6129,9753.6,False,249.55,292.55
06a30a,QTR8961,Qatar,1783039231,87.6124,22.7305,9753.6,False,266.54,273.76
71c027,KAL867,Republic of Korea,1783039232,126.6556,34.6885,11582.4,False,231.3,184.85
71c056,TWB643,Republic of Korea,1783039049,126.5686,33.8632,76.2,True,222.89,190.51
71c050,JJA109,Republic of Korea,1783039231,126.5168,34.2164,4465.32,False,170.82,210.19
a026a5,FDX6001,United States,1783039231,104.7228,21.1059,9692.64,False,256.58,214.71
04008b,ETH3491,Ethiopia,1783039232,88.4648,22.5879,9144.0,False,267.29,259.58
424293,AHY008,United Kingdom,1783039232,27.2079,44.2227,12489.18,False,260.85,119.8
06a2e5,QTR1R,Qatar,1783039187,38.2,32.6115,11887.2,False,264.12,153.39
06a2e2,QTR8969,Qatar,1783039231,88.1701,18.8539,10363.2,False,257.24,275.16
06a2e1,QTR8943,Qatar,1783039160,83.6047,23.0047,10363.2,False,267.6,273.86
845dee,ANA641,Japan,1783039231,132.2918,33.6665,8534.4,False,224.21,228.81
841794,JJP609,Japan,1783038982,132.0564,33.8384,2804.16,False,110.3,188.58
06a2f9,QTR48K,Qatar,1783039232,35.7137,36.2342,11879.58,False,262.88,143.35
06a2f6,QTR85T,Qatar,1783039136,38.3575,33.1542,10972.8,False,244.8,333.0
851120,JAL3101,Japan,1783039189,141.69,42.7986,83.82,False,69.49,172.77
06a2f0,QTR25J,Qatar,1783039231,53.0254,25.3267,6705.6,False,210.19,259.71
882da5,KMI525,Thailand,1783039174,104.4255,20.471,7970.52,False,216.61,35.92
882da2,KMI802,Thailand,1783039230,103.4488,12.4195,10088.88,False,222.33,118.17
7815a3,EPA6303,China,1783039231,113.7338,22.9458,5356.86,False,193.66,354.97
7802b0,CSN3078,China,1783039231,120.9372,14.7272,3611.88,False,166.34,256.95
781666,CSN8172,China,1783039231,115.5636,40.0241,3055.62,False,155.09,165.6
899118,CAL278,Taiwan,1783039231,131.302,32.6803,10058.4,False,244.63,32.29
899128,CAL160,Taiwan,1783039231,121.9255,25.9397,6736.08,False,242.41,36.46
899124,EVA696,Taiwan,1783039231,121.4805,25.2141,4091.94,False,176.37,72.52
781672,CQH8779,China,1783039230,121.0273,26.6771,11003.28,False,233.41,208.43
899138,UIA8690,Taiwan,1783039229,120.0115,23.0454,1836.42,False,121.53,170.5
899132,UIA8605,Taiwan,1783039105,119.8323,23.711,1851.66,False,95.6,235.97
780358,CXA8397,China,1783039228,114.5793,22.8005,9174.48,False,242.4,259.98
899103,CAL6842,Taiwan,1783039231,120.4742,24.3861,6187.44,False,209.14,40.31
780368,AMU822,China,1783039231,113.8483,22.3705,2491.74,False,138.53,82.53
899116,CAL601,Taiwan,1783039220,114.2119,21.9806,1676.4,False,142.94,276.61
863180,JA66AE,Japan,1783039231,140.0297,36.2524,1021.08,False,36.83,155.22
4ba9d4,THY4VL,Turkey,1783039232,30.944,33.2545,11887.2,False,234.18,178.24
06a2b7,QTR42M,Qatar,1783038460,35.3142,34.6757,10668.0,False,266.6,137.82
06a2b8,QTR3X,Qatar,1783039214,57.3513,22.9805,10972.8,False,251.25,297.3
06a2b3,QTR956,Qatar,1783037862,53.3296,24.7912,10058.4,False,241.98,105.16
4ba8ce,TKJ3SY,Turkey,1783039225,31.9,54.7033,11277.6,False,28.07,333.9
781717,CSH898,China,1783039173,90.1513,52.9032,11879.58,False,278.39,116.09
86dd2a,JAL740,Japan,1783039232,87.7356,24.7821,11887.2,False,246.88,109.98
8991d7,SJX789,Taiwan,1783039232,120.5723,15.4148,1524.0,False,120.91,19.9
8991d4,SJX785,Taiwan,1783039231,120.4195,17.2497,10363.2,False,240.77,186.5
8991b6,CAL120,Taiwan,1783039231,123.3897,24.9972,8831.58,False,242.3,96.46
8991aa,CAL701,Taiwan,1783039230,120.7209,20.5464,11582.4,False,243.01,184.37
8511ec,JAL20,Japan,1783039231,117.0677,40.1228,4122.42,False,170.97,171.87
4ba954,THY71,Turkey,1783037152,45.8503,41.4958,10972.8,False,219.42,285.5
4ba94f,THY198,Turkey,1783039230,40.7919,40.8652,10058.4,False,288.09,89.69
